entry_time,exit_time,dir,entry,exit,qty,bars_held,pnl,R,return_pct,reason,equity
2025-12-07 22:45:00+00:00,2025-12-08 01:40:00+00:00,long,90075.48,91249.6226,0.07889368014870547,35,84.04918794489659,0.7884850486429135,1.3035096787716416,trail,10743.62835048657
2025-12-08 03:00:00+00:00,2025-12-08 15:20:00+00:00,long,91364.18,89993.71729999999,0.07839416826511639,148,-115.96672441515234,-1.0794000000000028,-1.5000000000000013,stop,10627.661626071418
2025-12-09 01:30:00+00:00,2025-12-09 15:35:00+00:00,short,90214.96,91568.1844,0.07853584095935173,169,-114.8425115313271,-1.080599999999994,-1.4999999999999902,stop,10512.81911454009
2025-12-09 21:30:00+00:00,2025-12-10 14:50:00+00:00,long,93106.27,91709.67595,0.0752746949948705,208,-113.47536952234572,-1.0793999999999997,-1.5000000000000013,stop,10399.343745017744
2025-12-11 01:55:00+00:00,2025-12-11 15:00:00+00:00,short,90730.28,89714.2814,0.07641215071761964,157,69.36174393896697,0.666981933087823,1.1198010190203278,trail,10468.705488956712
2025-12-11 20:45:00+00:00,2025-12-11 21:35:00+00:00,long,91573.46,93097.1327,0.07621353384089459,10,107.67984180420117,1.02858793685419,1.6638802334213443,trail,10576.385330760913
2025-12-12 01:35:00+00:00,2025-12-12 15:25:00+00:00,long,92265.5,90881.5175,0.07641993544543313,166,-114.16150326023319,-1.0793999999999988,-1.5000000000000013,stop,10462.22382750068
2025-12-14 04:15:00+00:00,2025-12-14 11:40:00+00:00,long,90287.97,88933.65045,0.07725077753991427,89,-112.92924399404235,-1.0794000000000001,-1.5000000000000013,stop,10349.294583506638
2025-12-14 13:20:00+00:00,2025-12-14 23:35:00+00:00,short,89200.0,88023.36,0.07734898791858474,123,82.7870846256049,0.7999297339312401,1.3191031390134556,trail,10432.081668132243
2025-12-15 04:45:00+00:00,2025-12-15 14:50:00+00:00,long,89673.17,88328.07244999999,0.07755632049238542,121,-112.60388952581988,-1.0794000000000044,-1.5000000000000013,stop,10319.477778606422
2025-12-15 16:50:00+00:00,2025-12-16 13:25:00+00:00,short,86202.45,87495.48674999998,0.07980807798855231,247,-111.51227687561976,-1.080599999999988,-1.4999999999999902,stop,10207.965501730803
